coords	ins0	ins1	ins2	ins3	ins4	ins5	ins6	ins7	ins8	ins9	ins10	ins11	ins12	ins13	ins14	ins15	ins16	ins17	ins18	ins19	no_ins0	no_ins1	no_ins2	no_ins3	no_ins4	no_ins5	no_ins6	no_ins7	no_ins8	no_ins9	no_ins10	no_ins11	no_ins12	no_ins13	no_ins14	no_ins15	no_ins16	no_ins17	no_ins18	no_ins19
chr1,17024,18924	0.00365131598118	0.00709451930809	0.0159357967348	0.00425437388252	0.00370768905085	0.00865001829728	0.00896555994577	0.0122454757882	0.00691243350656	0.156827291076	0.0111710568888	0.0112059782978	0.00624514156705	0.00529448219209	0.00596366199002	0.00324155844219	0.00632458505975	0.00365892588988	0.00389014236832	0.00605752294401	0.00117647058824	0.00529616724739	0.0046511627907	0.00353445726117	0.00303803621339	0.0	0.00222222222222	0.00140845070423	0.000574712643678	0.0386491557223	0.00455790784558	0.0027972027972	0.0014598540146	0.0	0.00648148148148	0.0	0.00606060606061	0.00208333333333	0.0	0.00192307692308
chr1,18331,18642	0.0342842387294	0.170915205172	0.422725021141	0.44819258693	0.491934001431	0.437435807793	0.773960306693	0.702309879283	0.601822898889	0.52368293643	0.641200215999	0.257913026793	0.0223325833541	0.0108949888413	0.00836062775001	0.00708211657537	0.00638432075944	0.00524278766997	0.00454334900997	0.00615969241624	0.0213585434174	0.0895513833992	0.253765378215	0.310147540566	0.271944444444	0.238681437176	0.411336740318	0.4134818776	0.307461166285	0.281589658316	0.380939996285	0.104810580205	0.00958519409283	0.00494969670942	0.00937962813076	0.00207412687099	0.00232160312805	0.00618226896994	0.0	0.00368298368298
chr1,55676,56576	0.00799621877739	0.0035518439968	0.00422805779485	0.00404277025278	0.00723812053931	0.00631536845427	0.00319160464852	0.00305391726478	0.00360779766879	0.0246839881559	0.0207205624197	0.00758142589748	0.0072723931659	0.00431800320314	0.00457626406956	0.00671257701752	0.00577206011712	0.00340331260845	0.00622143268928	0.00415534558635	0.0148281754118	0.00542559645439	0.00421826298786	0.00102124183007	0.0113419816686	0.00459354150297	0.00399625690615	0.00541808494397	0.00195819926854	0.00636976813359	0.00207641196013	0.0015637815117	0.0	0.00331632513141	0.00538670196552	0.00465539869989	0.00356030820286	0.00115027437737	0.00362555767832	0.00187514712806
chr1,257710,258629	0.00916622695647	0.00744602006838	0.00397354587235	0.0027040971319	0.00283774178436	0.00411796222522	0.00364691646	0.00304173824014	0.0252979937899	0.256658194372	0.46704061553	0.00640927191338	0.00478166827602	0.00590559176399	0.00318291304439	0.0049930164367	0.00362408235355	0.00302956732431	0.00325744684452	0.00299174563524	0.00949848640478	0.00215287076989	0.00336413071189	0.00271447754051	0.00244296545273	0.00425758021258	0.00458090222857	0.00459684197414	0.0111174435092	0.0710463020644	0.151333594322	0.00139207198031	0.00209132011674	0.00520024410772	0.0108315631911	0.00404331856483	0.00234557109557	0.0046081636911	0.0149112339456	0.00431731080647
chr1,258630,258712	0.392514429654	0.645812046417	0.359962306349	0.281921101566	0.559322873373	0.417575137878	0.0	0.299894586328	0.480179887464	0.585732702932	0.0111219390581	0.00471843791157	0.00660040378036	0.00497002467801	0.00429696856812	0.00485432685324	0.00328648582179	0.00320498977941	0.00249129612229	0.00407142128985	0.0570066072158	0.21773982463	0.18082788671	0.185269552012	0.301072145294	0.261013351209	0.0	0.202575884155	0.381988334988	0.454416303255	0.00167504187605	0.00167084377611	0.000500500500501	0.00393912639724	0.00459048568805	0.00115740740741	0.0046284829665	0.0166187761661	0.0030717182119	0.00396667795666
chr1,431310,431469	0.00425943211889	0.00338996794464	0.00270373805095	0.00282243745597	0.00241460771318	0.00407224989152	0.00708138903781	0.0032874304425	0.00410065252061	0.0192425670966	0.495236247484	0.477781828257	0.366904742856	0.238025731736	0.461661491567	0.523205150987	0.275425149728	0.125511518956	0.154171153317	0.14452212434	0.00314118855411	0.00327629479207	0.00469847447528	0.00330177981079	0.0	0.0049444137338	0.0230547969012	0.00442246588864	0.0190426275332	0.00398629148629	0.148940455759	0.097936247742	0.0941859066859	0.0330878552972	0.166118860563	0.135994870632	0.022030651341	0.00459563929719	0.0148705951143	0.0551103254426
chr1,431474,431916	0.0029918586081	0.00284179187517	0.00990933141741	0.0029745156027	0.00792700614771	0.00503076824294	0.00447277611807	0.00507618221203	0.346036034779	0.387809730877	0.560249785195	0.491071164635	0.0957206574851	0.138858702396	0.196919355726	0.121475275981	0.0891750115327	0.132352171948	0.210703848991	0.145374214688	0.00461195328372	0.0038841295831	0.0	0.00482021183296	0.0184654845981	0.00913366270062	0.00443672839506	0.00536315536316	0.0	0.0555555555556	0.148313968966	0.148922841397	0.00547594338066	0.00489789373375	0.0333106100999	0.0551356862824	0.0150968154174	0.0687353487304	0.211004550941	0.119156257969
chr1,431917,432073	0.00686946739003	0.00369121994526	0.00400511331417	0.0283508853205	0.495404382599	0.47868715472	0.482578660776	0.474496757439	0.331473947231	0.206813866922	0.27151471916	0.123206292835	0.154317893241	0.126746775122	0.0837944109671	0.108299274845	0.154357164509	0.159702882584	0.0812002777349	0.396573105072	0.0222397699828	0.00452303734436	0.0190740740741	0.00398629148629	0.0	0.118518518519	0.159343093093	0.12337888829	0.0665103222826	0.0177469135802	0.022030651341	0.00455119362929	0.0153121863679	0.0556057065269	0.0334853337046	0.0271464578238	0.118882624543	0.205656405257	0.00969857347464	0.159702643036
chr1,846664,847739	0.00838171556752	0.0133102347796	0.0185433481642	0.010544345776	0.0114604111492	0.0224359239399	0.00811587462051	0.00566606244714	0.00669505726896	0.00438719364304	0.00393168772892	0.00548718921619	0.00339828450392	0.00408994471808	0.00364484831925	0.00368340968054	0.00219196202996	0.00275143381326	0.00699775688031	0.00313540072505	0.00563219992568	0.00621180150654	0.0	0.0	0.0	0.00115740740741	0.0014367816092	0.00151515151515	0.0041462838237	0.00269473386693	0.0	0.0	0.0034965034965	0.0	0.0	0.00242718446602	0.0	0.00178571428571	0.00862978524743	0.00139664804469
chr1,1160069,1161330	0.00770400027578	0.00337498480308	0.00458479993761	0.00319557594949	0.00578457607968	0.00414187882603	0.00264891720688	0.0039872756069	0.00484100125673	0.00355513813443	0.00586569673874	0.00737211933317	0.00275661516853	0.00206562038747	0.00361320432184	0.00244817435459	0.00303599611625	0.00240437141329	0.00450596859051	0.00352611423791	0.00505474385143	0.00411940810108	0.00250443883749	0.00207039337474	0.0208333333333	0.0	0.00131752305665	0.00103519668737	0.0689655172414	0.0102777777778	0.0	0.0144234253823	0.0066091954023	0.00899621212121	0.0	0.0	0.0	0.00661375661376	0.0016339869281	0.0
