chr	start	stop	cor
chr1	69025	69143	0.149080937043227
chr1	130245	130320	-0.0932307653180953
chr1	199201	199325	0.599146665925477
chr1	214011	214077	0.392890695831601
chr1	432722	432850	0.0374850967349196
chr1	520550	520621	0.0917933835618891
chr1	520550	520621	-0.0291530266496826
chr1	536030	536136	-0.0315204961301337
chr1	607143	607264	0.243938605305447
chr1	958116	958237	0.743882315520822
chr1	958312	958426	0.868526626543681
chr1	967240	967347	0.77326544684367
chr1	1210312	1210456	0.476324947221542
chr1	1249698	1249828	-0.439516480974076
chr1	1289473	1289547	-0.00721828288451943
chr1	1636059	1636195	0.771839472646407
chr1	2485597	2485679	0.243353525193516
chr1	2583625	2583756	0.404139369826145
chr1	2683166	2683297	0.185188627870733
chr1	3186589	3186662	0.141242755948076
chr1	3201453	3201519	0.0737563129316597
chr1	3263426	3263474	-0.0631358125281699
chr1	3356589	3356703	0.164402537989114
chr1	3431493	3431596	0.453246570841139
chr1	3498887	3498958	-0.00920827164870175
chr1	3627058	3627128	0.669904303811284
chr1	3759652	3759791	0.552681449070805
chr1	3823409	3823532	0.75251346292729
chr1	3900503	3900626	0.704901707997569
chr1	4000649	4000781	0.175587525711325
chr1	4077108	4077196	0.880977797117587
chr1	4147798	4147921	0.968491625426903
chr1	4226437	4226485	0.101738738278232
chr1	4326623	4326688	0.0655232225218147
chr1	4334346	4334391	0.0365180973792912
chr1	4405925	4406006	-0.915625687756148
chr1	4411058	4411172	-0.136931735467474
chr1	5061454	5061577	0.0140668257195651
chr1	5136095	5136171	0.301707559943382
chr1	5170843	5170985	0.320688956668703
chr1	5349170	5349299	0.590760819675023
chr1	5349765	5349876	0.727392892352887
chr1	5535648	5535784	0.373939966366475
chr1	5614552	5614691	0.412156529566112
chr1	5785950	5786023	0.630648485253146
chr1	5896181	5896251	0.496518492661223
chr1	6053932	6054057	0.121358479587731
chr1	6141423	6141558	0.358530198909798
chr1	6472722	6472793	0.225852194112211
chr1	6498508	6498594	0.518243970554306
chr1	6709253	6709327	0.121402074848689
chr1	7024461	7024536	0.0726260858792062
chr1	7024463	7024532	-0.00211734693394565
chr1	7121747	7121867	0.178239641884905
chr1	7197603	7197678	0.134068013257996
chr1	7284525	7284643	0.314231969212392
chr1	7388840	7388928	0.245752092895936
chr1	7506975	7507081	0.180768477918986
chr1	7525908	7526000	0.479089151308516
chr1	7724295	7724418	0.461234610247415
chr1	7821532	7821676	0.0353324856815127
chr1	7855506	7855643	0.501102183962377
chr1	7952851	7952976	0.557770775940704
chr1	8164268	8164365	0.296059592433595
chr1	8177676	8177728	0.0221149453369574
chr1	8237046	8237177	-0.0707659982029014
chr1	8238321	8238391	-0.343377590512792
chr1	8279393	8279534	0.890085166936384
chr1	8283807	8283906	0.322258990828264
chr1	8371093	8371148	-0.197978338877278
chr1	8383597	8383715	0.527975671710631
chr1	8472826	8472897	0.0283779785624757
chr1	8476307	8476353	-0.0729185194381333
chr1	8498395	8498465	0.633786074684463
chr1	8510972	8511077	0.487881630208335
chr1	8528954	8529049	-0.0498359540566994
chr1	8528982	8529055	0.298793781110497
chr1	8532690	8532804	0.121968875751777
chr1	8537855	8537981	0.0770252180363116
chr1	8573050	8573190	-0.155961960687157
chr1	8575812	8575927	0.591725064428285
chr1	8656093	8656184	0.0697282282323828
chr1	8660645	8660755	-0.0680041166824712
chr1	8696517	8696608	0.274922644742013
chr1	8718157	8718291	0.626835794959349
chr1	8724777	8724903	0.0136285486075749
chr1	8724782	8724901	0.0479892544229861
chr1	8877671	8877806	0.341868334127818
chr1	9276015	9276090	0.694522730098028
chr1	9330911	9330986	0.445201206948505
chr1	9368267	9368348	-0.361746103990699
