Information about the 422 Basho elements used in phylogenetic inference,,,,,,,,,,,
Name,ID,Chromosome,Testart (bp),Teend (bp),Nearest Gene,dist to gene,Occ. Freq.,Terminal Branch Length,Size,Recom K ,Gene Density (genes/MB)
BashoII,85,1,29841017,29841893,At1g79280,299,0.083333333,0.00018,876,2.247381556,277
BashoVI,506,4,4650109,4650543,At4g07868,1961,NA,0.00063,432,5.460041817,196
BashoII,342,5,15059365,15060656,At5g37890,1806,NA,0.00078,1291,5.073018741,219
BashoII,1089,4,16863269,16865073,At4g35670,420,NA,0.00196,1804,15.25196645,281
BashoII,117,4,1100281,1101040,At4g02490,306,NA,0.00244,759,7.518270893,248
BashoII,33,2,2138819,2139381,At2g05760,2207,NA,0.00252,562,3.800289501,213
BashoVI,515,5,17455545,17455943,At5g43410,2912,0.322580645,0.00283,396,4.196045616,243
BashoII,727,2,13108889,13109436,At2g30750,423,0.102040816,0.00304,547,4.780365231,277
BashoVI,514,5,8177678,8178108,At5g24220,2013,NA,0.00313,428,4.808668121,229
BashoVI,508,3,16862391,16862825,At3g45840,1519,1,0.00368,432,2.614114761,257
BashoV,1575,1,12873620,12874344,At1g35170,1503,NA,0.00396,722,3.996066977,194
BashoV,763,2,15378178,15378957,At2g36680,373,NA,0.00408,777,3.397957102,282
BashoII,224,1,20232202,20233082,At1g54150,133,NA,0.00434,880,4.336503189,273
BashoII,20,4,1521257,1521816,At4g03430,759,0.565217391,0.00492,559,6.393760937,222
BashoV,207,1,11351496,11352382,At1g31700,866,0.052631579,0.00555,884,4.219105564,232
BashoV,762,4,7403991,7404773,At4g12600,1595,0.346153846,0.00562,780,6.869944751,255
BashoV,414,5,14710669,14711290,At5g37140,588,0.192307692,0.00566,619,5.168038866,183
BashoII,663,2,13913746,13915796,At2g32790,398,0.066666667,0.00571,2050,4.270593609,282
BashoII,1674,5,13909361,13909914,At5g35770,1257,0.783783784,0.0059,553,5.341702168,167
BashoII,226,1,12618618,12619501,At1g34510,1688,0.75,0.00598,883,4.028430624,218
BashoII,662,1,20059211,20061262,At1g53580,545,0.872340426,0.00631,2051,4.305905826,275
BashoII,736,1,19834556,19835102,At1g53040,2156,NA,0.00635,546,4.266674325,261
BashoV,210,2,11562481,11563378,At2g27150,304,0.235294118,0.00642,895,5.471037667,244
BashoII,123,3,10902001,10902882,At3g28920,1219,NA,0.00653,881,4.081245795,204
BashoII,1660,1,29310901,29311440,At1g77890,397,0.630434783,0.00684,539,2.830492558,262
BashoII,1665,1,26946247,26946795,At1g71310,879,NA,0.00705,548,4.431384334,268
BashoII,1676,3,10709864,10710415,At3g28560,251,0.382352941,0.00715,551,4.208450911,211
BashoV,208,1,21325675,21326557,At1g56710,226,0.857142857,0.00727,880,4.53112879,297
BashoI,353,5,26500248,26502610,At5g66450,402,0.151515152,0.00735,2360,9.33564842,274
